PERCENT A,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,AGE 65,NUM. OF PROVIDERS,TOTAL PATIENTS,OT_roll_mean_4,OT_roll_std_4,OT_roll_std_8,date,month,week,year,quarter,season,OT
0.15986145845638777,0.15971617912845573,0.013573974368696444,0.0052078040849507165,0.010371959942775393,0.08739189804278562,0.05167141735132416,0.2087899649587419,0.15725891348667131,0.210859505902512,1997-10-06,10.0,41.0,1997.0,4.0,4.0,0.14276937434381928
0.016914679422173062,0.16808747730968684,0.015090619549556383,0.0061477492124784065,0.008226037195994278,0.08693673190714611,0.052974178631626324,0.20846093207484784,0.1488760241633742,0.2145842330611245,1997-10-13,10.0,42.0,1997.0,4.0,4.0,0.15554821065183863
0.023984920305293197,0.16262998940790588,0.017289755061803292,0.006757443349253125,0.012160228898426323,0.09968138370505235,0.06062748749084427,0.2144411491912559,0.1528672883496911,0.2114221283099571,1997-10-20,10.0,43.0,1997.0,4.0,4.0,0.17870928439035141
0.009757795618510532,0.15024892077454854,0.014256464700083417,0.005995325678284727,0.012875536480686695,0.0969503868912153,0.06292524510885393,0.16807182623210223,0.046536466216594075,0.153074741080939,1997-10-27,10.0,44.0,1997.0,4.0,4.0,0.1554354447771254
0.01226429767851049,0.16552542430721537,0.016455600212330324,0.00711309826237171,0.014663805436337624,0.0969503868912153,0.06122867707404891,0.18717813854849205,0.08681785785039252,0.1632578241924154,1997-11-03,11.0,45.0,1997.0,4.0,4.0,0.214667340669596
0.00662831130944,0.1683644205389499,0.013498142109653447,0.007138502184737323,0.017167381974248927,0.08875739644970414,0.0563264999955876,0.1945213415820798,0.07568384365093014,0.16537856007401075,1997-11-10,11.0,46.0,1997.0,4.0,4.0,0.18318103459449653
0.00738918370566882,0.18976386323992078,0.022294684158641085,0.008332486535921146,0.02503576537911302,0.11288120163859809,0.0711091451415057,0.21546491854414515,0.13614617427060083,0.19245024023244994,1997-11-17,11.0,47.0,1997.0,4.0,4.0,0.2575209653795803
0.020206798235884595,0.2162992246902108,0.021839690604383104,0.011584188598719642,0.022532188841201718,0.11652253072371416,0.07363083209050716,0.2584615268034316,0.1802505298965793,0.1733703332841046,1997-11-24,11.0,48.0,1997.0,4.0,4.0,0.3172337364389315
0.03735742270565738,0.21987061107326658,0.020323045423523166,0.008713545371405345,0.02467811158798283,0.11470186618115612,0.05834296707466664,0.26131455699843176,0.17550305329105337,0.16057353592260953,1997-12-01,12.0,49.0,1997.0,4.0,1.0,0.22540342963798268
0.03480435501147839,0.21228682918377875,0.022673845453856072,0.0105426277817295,0.03648068669527897,0.11515703231679564,0.07488616006424456,0.279429903738217,0.12057446430077112,0.15067529184524156,1997-12-08,12.0,50.0,1997.0,4.0,1.0,0.25134995009786004
0.07237445816036626,0.23183429607199998,0.026237961628876927,0.009856721877857941,0.028969957081545063,0.11015020482476104,0.06763548276075082,0.28958618145520043,0.1294014057096998,0.15699248440238717,1997-12-15,12.0,51.0,1997.0,4.0,1.0,0.29573952379100726
